episode,reward,avg_reward_100,avg_loss_100,avg_q_100,epsilon
1,5.0,5.0,0,0,0.99969904
2,15.0,10.0,0,0,0.99929017
3,5.0,8.333333333333334,0.10484767679472398,0,0.99892189
4,-5.0,5.0,0.10182753153865633,0,0.99847045
5,25.0,9.0,0.08067040307660137,0,0.99789922
6,15.0,10.0,0.0692611535539072,0,0.99740818
7,-15.0,6.428571428571429,0.07301813898466207,0,0.99711316
8,15.0,7.5,0.12210225839051418,0,0.99680626
9,15.0,8.333333333333334,0.07520547394931781,0,0.99628651
10,-5.0,7.0,0.08305175593995955,0,0.99597862
11,-15.0,5.0,0.09074627573179896,0,0.99567766
12,15.0,5.833333333333333,0.08260697423713281,0,0.99527077
13,45.0,8.846153846153847,0.08713401599088684,0,0.99482428
14,5.0,8.571428571428571,0.06316692599735689,0,0.9943471
15,15.0,9.0,0.05727460451424122,0,0.99362737
16,5.0,8.75,0.07212377806892618,0,0.99334027
17,55.0,11.470588235294118,0.06883223671349697,0,0.99231265
18,-5.0,10.555555555555555,0.06109764939830711,0,0.99200674
19,5.0,10.263157894736842,0.06693133039167151,0,0.99163648
20,-15.0,9.0,0.08876514054369182,0,0.99134344
21,15.0,9.285714285714286,0.07760883120027756,0,0.9909613
22,5.0,9.090909090909092,0.06488329504150897,0,0.99066331
23,-15.0,8.043478260869565,0.08933515973330941,0,0.99036928
24,5.0,7.916666666666667,0.08759731251540416,0,0.99006733
25,-5.0,7.4,0.06984641116921012,0,0.98977429
26,5.0,7.3076923076923075,0.08332929170694114,0,0.98937631
27,-5.0,6.851851851851852,0.08769104168433842,0,0.98896051
28,15.0,7.142857142857143,0.08145886799546133,0,0.98833879
29,5.0,7.068965517241379,0.07709195090770664,0,0.98779231
30,-5.0,6.666666666666667,0.0857949398567871,0,0.98750323
31,15.0,6.935483870967742,0.08592630375685985,0,0.98719237
32,15.0,7.1875,0.08465300135372672,0,0.98691022
33,5.0,7.121212121212121,0.088573775303812,0,0.98662906
34,35.0,7.9411764705882355,0.06993809124200197,0,0.98604991
35,15.0,8.142857142857142,0.07399751159347943,0,0.98530147
36,-5.0,7.777777777777778,0.052445335604134016,0,0.98499556
37,-15.0,7.162162162162162,0.0875351602138835,0,0.98469856
38,5.0,7.105263157894737,0.0919697846074996,0,0.98432731
39,-5.0,6.794871794871795,0.09737411133428395,0,0.98403724
40,-15.0,6.25,0.08089558225234214,0,0.98373331
41,-5.0,5.975609756097561,0.07697256084116816,0,0.98343136
42,-5.0,5.714285714285714,0.09334927287723986,0,0.98314525
43,5.0,5.6976744186046515,0.10186488023704442,0,0.98265223
44,-5.0,5.454545454545454,0.07485987211992323,0,0.98234632
45,5.0,5.444444444444445,0.06839432123506413,0,0.98203546
46,25.0,5.869565217391305,0.09562540786646423,0,0.98151274
47,15.0,6.0638297872340425,0.11604813239893702,0,0.98107516
48,35.0,6.666666666666667,0.06395715279497381,0,0.98013763
49,-15.0,6.224489795918367,0.06204262351824582,0,0.9798337
50,-5.0,6.0,0.07687149582321581,0,0.97954066
51,-15.0,5.588235294117647,0.09139035255790078,0,0.9792496
52,5.0,5.576923076923077,0.10335986018944823,0,0.97874272
53,-5.0,5.377358490566038,0.07315875183565368,0,0.97822495
54,-15.0,5.0,0.06262392634969728,0,0.97793092
55,15.0,5.181818181818182,0.08089523693197406,0,0.97753393
56,15.0,5.357142857142857,0.06903090424686525,0,0.97696072
57,-5.0,5.175438596491228,0.056202671262217334,0,0.97666867
58,-15.0,4.827586206896552,0.09791127442862489,0,0.97636276
59,5.0,4.830508474576271,0.1083601872037616,0,0.97606774
60,5.0,4.833333333333333,0.1030659019988525,0,0.97576777
61,-5.0,4.672131147540983,0.07621409679632052,0,0.97547176
62,-5.0,4.516129032258065,0.08151169543993092,0,0.97499854
63,15.0,4.682539682539683,0.08992173629361787,0,0.9746164
